epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,31976.2,1.21491,1.0011,1.30809,0.63727,0.59946,0.64724,0.39317,1.38259,1.17161,1.48361,0.000731145,0.000731145,0.000731145
69,32445.3,1.21407,0.99318,1.30376,0.63691,0.59957,0.64743,0.3934,1.38211,1.171,1.48321,0.000639518,0.000639518,0.000639518
70,32912.3,1.21385,0.99559,1.3063,0.63761,0.59999,0.64809,0.39374,1.38172,1.17012,1.48266,0.000554691,0.000554691,0.000554691
71,33379.5,1.22151,0.9719,1.3475,0.63769,0.60086,0.64834,0.39402,1.38144,1.16927,1.48215,0.000476796,0.000476796,0.000476796
72,33844.9,1.2199,0.96037,1.348,0.63791,0.60092,0.64876,0.39444,1.38094,1.16903,1.48173,0.000405953,0.000405953,0.000405953
73,34311.3,1.20774,0.94766,1.33435,0.63874,0.60147,0.64924,0.39468,1.38047,1.16854,1.48129,0.00034227,0.00034227,0.00034227
74,34777.4,1.20301,0.94239,1.33942,0.63848,0.60136,0.64946,0.39488,1.38019,1.16812,1.48108,0.000285847,0.000285847,0.000285847
75,35247.5,1.20192,0.94659,1.33767,0.63783,0.60124,0.64988,0.39515,1.37998,1.16765,1.48088,0.000236769,0.000236769,0.000236769
76,35721.6,1.20394,0.9432,1.33849,0.64135,0.59759,0.65032,0.3953,1.37988,1.16733,1.48076,0.000195113,0.000195113,0.000195113
77,36187.2,1.19967,0.94354,1.33502,0.64159,0.59834,0.6507,0.39546,1.37961,1.16694,1.48061,0.000160943,0.000160943,0.000160943
78,36653.4,1.20307,0.93926,1.33498,0.64285,0.59854,0.65129,0.39578,1.37939,1.16675,1.48046,0.000134311,0.000134311,0.000134311
79,37119.5,1.19762,0.93391,1.33345,0.64351,0.59842,0.65172,0.39609,1.3792,1.16664,1.48041,0.000115259,0.000115259,0.000115259
80,37590.8,1.19775,0.93479,1.33339,0.64567,0.59782,0.65232,0.39635,1.37912,1.16643,1.48048,0.000103816,0.000103816,0.000103816
